,category,sub_category,sub_sub_category,title,description,gender
33,sports & outdoors,team shop,team clothing,Ty Dillon Black Race Day Long Sleeve T-Shirt,Cheer on Ty Dillon in this Race Day tee. A bold driver number on the front chest along with additional high-quality graphics make this tee to perfect addition to your NASCAR wardrobe. You'll be able to show everyone at the track that you're always going to be a huge Ty Dillon fan!,unisex
34,clothing,pants,None,SANDRAH SLIM IN CAREER STRETCH,"Introducing NYDJ's Sandrah Slim in Career Stretch! A wardrobe must-have, this chic trouser silhouette is a desk-to-dinner essential that you'll find yourself reaching for all year round. Classic trouser styling in a comfortable fabric that's slimming and flattering. Features a soft modern elastic back for added comfort, non-functional front pockets, welt back pockets and as always, in our exclusive NYDJ look-a-size-smaller slimming fit.",womens
35,,None,None,Amy Byer Girls' 7-16 Laser Cut Shift Dress With Necklace,,None
37,sports & outdoors,team shop,team clothing,Washington State Cougars Women's Football Personalized Backer Pullover Hoodie - Cardinal,"Sure you can go around and tell everyone how dedicated you are to the Washington State Cougars, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Washington State Cougars fan with this Personalized Backer hoodie! This hoodie boasts your team pride with Washington State Cougars graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
38,sports & outdoors,team shop,team clothing,Men's Oakland Raiders G-III Sports by Carl Banks Black Kickoff Full-Zip Hoodie,Keep warm and represent your Oakland Raiders in a comfy way with this Kickoff hoodie from G-III Sports by Carl Banks! It features a unique design with quality Oakland Raiders graphics that any true fan would love.,unisex
39,,None,None,Bai - Antioxidant Infused Beverage Rainforest Variety Pack - 12 Bottle(s),,unisex
40,accessories,hats,None,Ben Sherman Stingy Brim Trilby Hat,Stingy brim fedora with  printed micro fiber band.,mens
42,sports & outdoors,team shop,team clothing,Majestic Threads Baltimore Orioles Established Tri-Blend Crewneck Sweatshirt - Black,,unisex
43,,None,None,,,None
44,,None,None,,Go the distance in this sporty and sophisticated wedge loafer from Life Stride.    Faux leather    Closed toe    Closed back    Imported,unisex
45,sports & outdoors,team shop,team clothing,Men's San Francisco 49ers Pro Line Gray Buckman Reversible Long Sleeve T-Shirt,"A double dose of San Francisco 49ers pride will be yours when you pick up this Pro Line Buckman reversible long sleeve T-shirt! This shirt gives you two colors and distressed graphics to show off one message, that you are the No. 1 fan of the San Francisco 49ers.",unisex
46,sports & outdoors,team shop,team clothing,Men's Sunice Charcoal 2017 U.S. Open Allendale Lightweight Stretch Half-Zip Pullover Jacket,,None
47,sports & outdoors,team shop,team clothing,Men's Pittsburgh Steelers Nike White/Gray Champ Drive Flash Hybrid Full-Zip Jacket,Keep the cold air at bay while you celebrate your beloved Pittsburgh Steelers with this incredible Champ Drive Flash Hybrid full-zip jacket from Nike. This is the ideal way to stay warm while you push your favorite team on to another successful season!,unisex
48,clothing,sweaters,None,Chaus Two Pocket Mock Neck Sweater,,womens
49,clothing,denim,None,,,womens
50,sports & outdoors,team shop,team clothing,New Agenda Arizona Wildcats Red Midsize Arch Over Logo Hoodie,"Get the perfect look to let everyone know you are a loyal Arizona Wildcats fan! When the weather gets chilly, make sure you grab this Midsize Arch hoodie and keep comfortable while cheering for the Arizona Wildcats. It features a drawstring hood, a front pouch pocket, and Arizona Wildcats graphics on the front that show off your Arizona Wildcats devotion. FansEdge is your trusted source for all the latest Arizona Wildcats gear.",unisex
52,sports & outdoors,team shop,team accessories,Detroit Tigers Card Holder,"Display your business cards with your Detroit Tigers fandom when you set this card holder on your desk! With a unique baseball design, this card holder will be a great way to show off the team at work.",unisex
53,,None,None,Badgy 100 - Plastic card printer - color - dye sublimation/thermal transfer - CR-80 Card (3.37 in x,The Badgy100 printer is ideally suited to your single printing needs and is perfect for limited budg,None
54,,None,None,220 Percale Duvet Cover King Alpine White,"""A linen closet essential, this duvet cover is right for every bed in any seasonon its own or under a decorative top layer, over a top sheet or instead of one (European style). Our supple-but-sturdy 220 thread count organic cotton percale makes it wonderfully smooth, easy to care for and sure to get softer with every wash.  Self-backed and finished with a simple knife edge, an 8"""" interior flap and coconut shell buttons. Inside ties.  100% organic cotton is grown and woven in India.""",None
55,clothing,denim,None,Ralph Lauren Denim & Supply  D&S Prospect Slim Jean Cramer 30Wx32l,,mens
56,,None,None,"Dolce & Gabbana One-Piece Halter Pineapple Swimsuit, Pink, Size 8-12","Dolce & Gabbana one-piece swimsuit in pineapple print. Sweetheart, halter neckline. Hook-eye neck closure. Shirred at bust. Full seat coverage. Nylon/spandex. Made in Italy.",None
57,sports & outdoors,team shop,None,Autographed New York Mets Dwight Gooden Fanatics Authentic 1985 Topps #620 Rookie Card with 85 24-4 Inscription,"""This highly collectible trading rookie card has been personally hand-signed by pitcher Dwight Gooden with the inscription """"85 24-4."""" The card is then encapsulated in a tamper proof acrylic case which also includes a Fanatics Authentic ID tag and hologram to guarantee the authenticity of the item. This will make a great addition to the collection of any true sports fan. Please note that autographs may vary. Autographs are signed directly on the card not on a sticker. Autograph has been obtained under the auspices of the MLB Authentication Program and can be verified by its numbered hologram at MLB.com.""",unisex
58,sports & outdoors,team shop,team clothing,Men's Kansas City Royals Lorenzo Cain Majestic White Home Big & Tall Cool Base Player Jersey,Wear your team pride on your sleeve when you get this Kansas City Royals Official Cool Base player jersey from Majestic. The fantastic Kansas City Royals graphics are amazing and show your loyalty to both the team and for Lorenzo Cain.,unisex
59,kids & baby,boys clothing,boys swimwear,Kanu Boys 2-7 Echo Board Shorts,"Sun and surf ready in a quick-drying, bright print    Elasticized waist    Front tie    Two slash pockets    One grip-tape flap pocket    Mesh lining    Polyester    Machine wash    Imported",boys
60,sports & outdoors,team shop,team clothing,Cutter & Buck Women's Cardinal 2017 U.S. Open Northgate DryTec Polo,,unisex
61,kids & baby,girls clothing,girls shirts & tops,,,girls
63,,None,None,Moda at Home News Shower Curtain,"""The Moda at Home News Shower Curtain brings a decorative touch to an ensuite or guest bathroom. Colorful and fun, this polyester shower curtain features an allover compass print that also includes large bold letters that create an eye-catching scene for any bathroom in your home.    Multicolor     71"""" x 71""""     Compass print     Machine washable     Polyester     Imported""",None
64,,None,None,OppoSuits Men's Skulleton Suit,"With this patterned suit and matching tie from OppoSuits, it's fairly safe to say that you'll be noticed at your next gathering.    Featured in black     Three piece suit includes jacket, pants and tie     Jacket: notched lapel, long sleeves, two button front, center vent, two lower flap pockets, chest pocket     Pants: flat front design, unfinished hem     Slim fit design     Machine washable; dry clean preferred     Polyester     Imported",None
65,sports & outdoors,team shop,team clothing,Josh Donaldson Toronto Blue Jays Majestic 2017 Spring Training Authentic Flex Base Player Jersey - Royal,"You're looking forward to another exciting Toronto Blue Jays season. Now you can share your excitement all season long when you get this Josh Donaldson 2017 Spring Training Flex Base Authentic Collection Player Jersey from Majestic. This jersey is modeled after what the Toronto Blue Jays will wear during Spring Training, so it will keep you comfortable no matter how much things heat up on the diamond. Josh Donaldson's graphics are features on this jersey so everyone will know just who you cheer for.",unisex
66,,None,None,Men's UA Rival Fleece Patterned Joggers,"""Midweight, 280g durable cotton-blend fleece.  Soft, brushed inside traps warmth.  Ribbed waistband with external drawcord.  Articulated knees.  Hand pockets & back right pocket.  Inseam: 30"""".""",mens
67,sports & outdoors,team shop,team clothing,Chris Harper Player Issued T-Shirt - Ash,You'll do whatever it takes to show your support for Chris Harper and this NFLPA tee is the perfect way to show everyone your dedication to being his biggest fan. An NFLPA graphic sits just above the player's name and number on the chest of this awesome tee. You'll follow him no matter where he goes and this tee proves it! Rock this tee in the stands and you're sure to make friends with everyone who loves him just as much as you do.,None
68,,None,None,"Aidan Mattox Sleeveless Bateau-Neck Mermaid Gown, Champagne","""Aidan Mattox floral jacquard gown. Approx. length: 56""""L from shoulder to hem, 53""""L down center back. Bateau neckline; V'd back. Sleeveless; moderate shoulder coverage. Mermaid silhouette. Straight hem. Hidden side zip. Polyester/metallic. Lining, polyester/spandex. Dry clean. Imported of French material.""",womens
69,clothing,outerwear,None,Casual Ruffle Twill Jacket,"""Upgrade your outerwear collection with this cute and comfy solid jacket. Ruffled trim sets off the zipper placket, while flattering seams create a chic silhouette.  Solid jacket  Ruffled trim  Waist pockets  25"""" length (size M)  3/4 sleeve  Twill  Machine wash cold  Model Height: 5'9""""""",womens
70,sports & outdoors,team shop,team clothing,Nike Ohio State Buckeyes Women's Black Tri-Blend Mid V-Neck T-Shirt,"Take your look to the next level with this special Ohio State Buckeyes tri-blend T-shirt from Nike! You have an undeniable style and with this tee, everyone will see it. Featuring one-of-a-kind graphics, this tee will make the perfect addition to your Ohio State Buckeyes collection!",unisex
71,,None,None,,,None
72,sports & outdoors,team shop,team clothing,Tyrann Mathieu LSU Tigers Nike Alumni Football Game Jersey - White,As a true LSU Tigers fan you definitely support Tyrann Mathieu. The best way to do that is with this Game jersey from Nike. This is the perfect jersey for any fan looking to bulk up their collection of LSU Tigers player-inspired gear. It features your favorite player's name in his college colors. The bold team and Tyrann Mathieu graphics will make you proud to be the die-hard fan you are.,unisex
75,sports & outdoors,team shop,team clothing,Tuskegee Golden Tigers Proud Mascot Long Sleeve T-Shirt - Gold,"Sure you can go around and tell everyone how dedicated you are to the Tuskegee Golden Tigers, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Tuskegee Golden Tigers fan with this Proud Mascot T-shirt! This tee boasts your team pride with Tuskegee Golden Tigers graphics. There are many ways to show your spirit, but this way you won't lose your voice.",None
76,,None,None,"Oscar de la Renta Petite Roses Mikado Dress, Ruby/Fuchsia, Size 12-24 Months",Oscar de la Renta mikado dress in petite roses print. Peter Pan collar. Cap sleeves. Self-tie sash at waist. Smocked A-line silhouette. Button back. Silk/cotton. Made in Portugal.,unisex
77,clothing,underwear & intimates,underwear,"La Perla Moonlight Lace-Trimmed Thong, Dark Blue","""La Perla """"Moonlight"""" thong with lace-trim. Low-rise style sits across hips. Thong back. Cotton-lined gusset. Silk/spandex/polyester. Made in Italy.""",womens
78,shoes,sandals,None,,"""Web exclusive! Relax in style in Bella Vita """"Fasano"""" Slide Sandals. A classic style to slip on with your shorts and swimsuits, this women's summer footwear has wide crisscross straps made of supple leather. Soft linings, padded midsoles and 1"""" heels increase your comfort when you wear these casual slides.    Featured in red     1"""" heel    Slip on    Crisscross straps    Microsuede lining/insole    Resin foam padding    Leather upper    PU outsole    Imported""",womens
80,,None,None,The Row Alys Leather Loafers,Sleek leather square-toe loafer with tonal pipe trim  Leather upper  Square toe  Slip-on style  Leather lining and sole  Padded insole  Made in Italy,None
81,clothing,dresses,None,piped lace sheath dress,"Travel on trend with a lingerie-inspired look. The sweetheart neckline has structured piping that helps play up your curves, while luscious lace is almost too hot to handle. Sweeten it with heels or add an edge with a moto jacket.",womens
82,kids & baby,boys clothing,None,,Your little gentleman will look super-handsome in this striped Henley bodysuit from Carter's.    Cotton    Crewneck    Three-button placket    One pocket    Short sleeves    Bottom snap closure,baby & toddler
83,,None,None,,"""Web exclusive! Slip into fabulously feminine style with L'Artiste by Spring Step """"Bande"""" clogs. These handpainted, floral embossed shoes offer wonderfully unique style, while padded insoles give the cozy support you need. Bring a dash of playful style to your profile with these women's clogs.    Featured in brown multi     Heel height: 2"""" with 0.75"""" platform     Inside elastic gore     Textile padded insole/lining     Rubber outsole     Handpainted leather uppers     Imported""",None
84,sports & outdoors,team shop,team clothing,Junk Food New York Giants Women's Rookie Raglan Tri-Blend T-Shirt - White,"In terms of your New York spirit, you passed rookie status a long time ago. Show you've got what it takes to be in the big leagues of team pride with this Rookie raglan tee from Junk Food. It features a team name and logo printed on the front for a cute style that boasts major Giants devotion!",unisex
85,sports & outdoors,team shop,team clothing,Fanatics Branded Chicago Blackhawks Women's Black Personalized Backer Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish Chicago Blackhawks fan! With eye-catching team graphics, this Fanatics Branded Personalized Backer hoodie will show everyone that you know how to display your team spirit in style. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
86,sports & outdoors,team shop,team accessories,New Era White Atlanta Braves 2T Patched Low Profile 59FIFTY Fitted Hat,"Reaching for a fitted hat shows that you are ready for a more sophisticated style, and this New Era 2-Tone Patch Low Profile 59FIFTY fitted hat will serve you well. This comfortable polyester hat will quickly meld to the contours of your dome for that perfect fit. The Atlanta Braves colors, embroidered graphics and league patch will help you to look as good as you feel whenever you place this quality cap on your noggin.",unisex
87,clothing,dresses,wear-to-work dresses,Jessica Simpson Lace Sheath Dress,Discover a look as effortless as it is elegant with this lace sheath dress from Jessica Simpson.    Featured in black / pink     Scoop neck     Sleeveless     Allover lace design     Above the knee length     Polyester     Imported,womens
88,sports & outdoors,team shop,team clothing,Green Bay Packers Antigua Women's Curve Tank Top - Black,"Welcome back your favorite gridiron greats with this Antigua Green Bay Packers Curve tank top! The sun won't be the only thing blazing at the field when you hit the stands with the vibrant Green Bay Packers colors and embroidered graphics of this tank top. This super-soft, lightweight top will feel as good as it looks when you are at the game or in front of the TV cheering for your Green Bay Packers.",unisex
89,clothing,pants,None,"Straight-Leg Cargo Pants, Sand","Michael Kors cargo pants in crinkled cotton blend. Natural rise; fitted through hip; straight legs. Six flap pockets. Front zip; belt loops. Cotton/metallic. Made in Italy. Please note: Belt, shown, is sold separately.",womens
90,clothing,swimwear,swim bottoms,Trina Turk Gypsy Shirred-Side Hipster Swim Bottom,"""Trina Turk """"Gypsy"""" swim bottom in solid microfiber. Low rise. Shirred hipster sides. Moderate seat coverage. Nylon/spandex. Imported.""",womens
91,,None,None,Calvin Klein Bottoms Up Bikini,Lace trim     Logo waistband     Nylon/elastane     Imported,None
92,sports & outdoors,team shop,team clothing,Kansas Jayhawks Women's Royal Double Bar Pullover Hoodie,"Get the perfect look to let everyone know you are a stylish Kansas Jayhawks fan! With eye-catching team graphics, this Double Bar hoodie will show everyone that you know how to display your team spirit in style. With a comfy hoodie and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
93,sports & outdoors,team shop,team shoes,Toronto Blue Jays Women's Colorblock Fur Slide Slippers,"Even when you're relaxing around your home, you keep your Toronto Blue Jays style close. Rock these Colorblock Fur slide slippers for a great way to keep your feet warm and comfortable while you're showing off your Toronto Blue Jays spirit. Featuring a soft faux fur trim and embroidered team graphics, these slippers will be the first thing you put on when you walk in the door.",None
94,sports & outdoors,team shop,team clothing,Men's New York Mets Majestic Royal Big & Tall Microfiber Full-Zip Jacket,"Fight off the cold weather while you embrace your New York Mets passion with this classic Microfiber full-zip jacket from Majestic. This jacket is an excellent way to promote your favorite team all season long. Let's go, New York Mets!",unisex
95,accessories,jewelry,None,Swarovski Nirvana Crystal DTL Pendant - 1144358,This sparkling pendant shows the same unique faceting as Swarovskis iconic Nirvana ring.    Beautifully crafted in clear crystal with Diamond Touch Light effect it comes on a rhodium-plated chain.    The adjustable closure features a delicate tag engraved with the Swanflower motif.    Approximate size: 14 7/8 / 1 3/4 x 5/8 inches.,unisex
96,,None,None,"Peace Love World Trust N Luv Tank, Heather","""Peace Love World """"Trust N Luv"""" graphic tank. Crew neckline; cutout back with twist detail. Sleeveless. Slim silhouette. High-low hem. Pullover style. Micro modal; dry clean. Imported.""",None
97,accessories,jewelry,necklaces,John Hardy Men's Classic Chain Silver Dog Tag Necklace,"""John Hardy dog tag pendant neckline. Sterling silver box chain. Silver with blue enamel pendant. Pendant, approx. 1.3""""H x 0.9""""W x 0.1""""D. Handcrafted in Bali.""",mens
98,,None,None,"Vince Calista Stretch-Suede Block-Heel Boot, Black","""Online only. Vince stretch-suede ankle boot. 4"""" stacked block heel. Round toe. Layered vamp. Side zip eases dress. Leather lining. Smooth outsole. """"Calista"""" is made in Italy.""",None
99,sports & outdoors,team shop,team clothing,Big East Gear Women's Conference Stamp Tri-Blend V-Neck T-Shirt - Ash  -,Brand yourself as a true fanatic while proudly boasting your team's affiliation with their conference in this classic Conference Stamp tee. It features a team name and logo encircled by conference lettering for a bold show of elite Hoyas pride!,unisex
100,sports & outdoors,team shop,team clothing,USA Boxing Very Official National Governing Body T-Shirt - Navy,You are a huge Team USA fan and always support each team as they work to become the best they can be! Now you can show your patriotism all while you celebrate each and every Team USA victory when you put on this Team USA Boxing Very Official National Governing Body T-shirt. This shirt features quality printed graphics which show your devotion to the United States and Team USA Boxing.,unisex
101,sports & outdoors,team shop,team clothing,Majestic Baltimore Ravens Charcoal Big & Tall Solid Thermal Long Sleeve T-Shirt,Sport a trendy Baltimore Ravens look in your wardrobe with this Solid Thermal T-shirt by Majestic. This eye-catching tee features distressed graphics that will be the highlight of your winter wear. Walk proudly in your Baltimore Ravens style when you're rocking this trendy tee.,None
102,clothing,None,None,CARSON SWEATER,"A SLIGHTLY CROPPED, RIBBED WOOL SWEATER, THE CARSON FEATURES A CREW NECK, LONG SLEEVES AND CONTRASTING KNIT STRIPE MOTIF. PAIR THE CLASSIC FALL SILHOUETTE WITH HIGH WAIST TROUSERS OR VINTAGE JEANS.",womens
103,,None,None,,"Easy on the eyes, easy on the foot! These Easy Spirit shoes are extremely soft and lightweight.    Featured in black     Casual flats     Slip on     Closed toe and back     Rounded toe     Low heel     Unconstructed flexible upper     Imported",None
104,clothing,tops,None,,,womens
106,sports & outdoors,team shop,team clothing,Atlanta Braves Majestic Ready and Able Pop Logo Pullover Hoodie - Black,"When the temperatures start to dip, don't let your Atlanta Braves fandom go wayside with this Ready and Able Logo Pullover hoodie. This hoodie features a warm fleece lining and unique logo design that will keep your team fandom nice and toasty. Rock your Atlanta Braves dedication this winter and let the world know you aren't just a fair weather fan.",unisex
107,sports & outdoors,team shop,team home & pet,"""WinCraft Atlanta Falcons 11"""" x 17"""" Wood Sign with Mirror""",Proudly display your Atlanta Falcons pride for all of your guests to see with this sweet WinCraft wood sign with mirror. Its vibrant colors and graphics make this the perfect item to hang on your wall so everyone can see your Atlanta Falcons spirit. This cool decoration will make it impossible for anyone to doubt your loyalty to the Atlanta Falcons.,None
108,sports & outdoors,team shop,team clothing,Houston Cougars Antigua Women's Ice Full-Zip Jacket - Red,"Looking for a way to dress warm and still show off your unwavering commitment to the Houston Cougars? Look no further because this Antigua Ice full-zip jacket is the ideal way to stay classy while still reveling in your team pride. It features an embroidered Houston Cougars logo which is sure to let everyone around you know where your loyalty lies this season. Next time you're out in the cold on game day, make sure you have this Houston Cougars full-zip jacket on so you can continue to illustrate your devotion to the team.",None
109,clothing,pants,None,Bedford Pant,"It's not always easy to understand clothes when you can't touch them in person, so we'll strive to be as descriptive with the Bedford Pant as we can: the fabric is incredible. Made from a classic corded Bedford cloth milled in Italy, it's something akin to denim's upscale cousin. You get the same versatility and durability, but the lined texture gives it a slightly more sophisticated edge. You can certainly wear the Bedford Pant like casual jeans, but you can also dress it up to the nines with a crisp blazer. Frankly, we're pretty big fans, and as soon as you slip on your pair, we know you will be too.",mens
