,category,sub_category,sub_sub_category,gender
177,,None,None,None
178,clothing,tops,blouses,plus size
179,sports & outdoors,team shop,team accessories,unisex
180,clothing,shorts,None,womens
182,sports & outdoors,team shop,team clothing,unisex
183,clothing,tops,None,womens
185,clothing,denim,None,womens
186,,None,None,unisex
187,sports & outdoors,team shop,team accessories,None
189,sports & outdoors,team shop,team clothing,unisex
190,clothing,sweaters,None,womens
191,sports & outdoors,team shop,team clothing,None
193,,None,None,None
194,accessories,luggage & bags,luggage,unisex
195,accessories,handbags,crossbody bags,unisex
196,sports & outdoors,team shop,team clothing,None
197,,None,None,unisex
198,sports & outdoors,team shop,team clothing,unisex
199,sports & outdoors,team shop,None,unisex
200,accessories,jewelry,earrings,unisex
201,sports & outdoors,team shop,team clothing,unisex
204,,None,None,None
205,clothing,swimwear,two-piece swimsuits,womens
206,,None,None,unisex
207,clothing,outerwear,None,mens
208,sports & outdoors,team shop,team clothing,None
209,sports & outdoors,team shop,team clothing,None
210,sports & outdoors,team shop,team clothing,unisex
211,,None,None,unisex
212,sports & outdoors,team shop,team clothing,unisex
213,clothing,sweaters,None,womens
214,clothing,tops,dress shirts,mens
215,sports & outdoors,team shop,None,None
216,sports & outdoors,team shop,None,unisex
217,clothing,skirts,None,womens
218,accessories,jewelry,necklaces,unisex
220,sports & outdoors,team shop,team clothing,unisex
221,,None,None,None
222,sports & outdoors,team shop,team clothing,None
223,sports & outdoors,team shop,team clothing,None
224,clothing,underwear & intimates,bras,womens
225,clothing,tops,blouses,womens
226,sports & outdoors,team shop,team clothing,unisex
227,sports & outdoors,team shop,team accessories,unisex
229,sports & outdoors,team shop,team clothing,unisex
230,,None,None,None
231,sports & outdoors,team shop,team clothing,unisex
232,sports & outdoors,team shop,team clothing,unisex
233,kids & baby,baby,baby gear,None
234,clothing,swimwear,swimsuit tops,womens
235,accessories,hats,None,mens
237,sports & outdoors,team shop,team clothing,unisex
238,clothing,tops,dress shirts,mens
239,,None,None,unisex
240,accessories,jewelry,rings,womens
241,clothing,dresses,cocktail dresses,womens
242,accessories,handbags,crossbody bags,unisex
245,sports & outdoors,team shop,team clothing,None
246,sports & outdoors,team shop,team clothing,unisex
247,clothing,tops,dress shirts,mens
248,sports & outdoors,team shop,team shoes,unisex
249,,None,None,unisex
250,clothing,tops,dress shirts,mens
251,sports & outdoors,team shop,team clothing,None
252,sports & outdoors,team shop,team clothing,None
253,,None,None,None
254,sports & outdoors,team shop,team clothing,unisex
255,,None,None,None
256,sports & outdoors,team shop,team home & pet,None
257,clothing,tops,dress shirts,mens
258,,None,None,None
259,sports & outdoors,team shop,team kids & baby,unisex
260,sports & outdoors,team shop,team clothing,unisex
261,sports & outdoors,team shop,team clothing,unisex
262,sports & outdoors,team shop,team clothing,unisex
266,sports & outdoors,team shop,team clothing,unisex
267,clothing,sweaters,None,plus size
270,sports & outdoors,team shop,team clothing,None
271,sports & outdoors,team shop,team accessories,unisex
272,clothing,shorts,None,mens
273,sports & outdoors,team shop,team clothing,None
274,,None,None,None
275,sports & outdoors,team shop,team clothing,unisex
276,home & pet,bedding & bath,bedding,None
277,shoes,None,None,mens
279,sports & outdoors,team shop,team clothing,unisex
280,clothing,None,None,womens
281,accessories,handbags,crossbody bags,None
282,clothing,sweaters,None,womens
283,clothing,sweaters,None,plus size
284,sports & outdoors,team shop,team clothing,None
285,sports & outdoors,team shop,team clothing,unisex
287,sports & outdoors,team shop,team clothing,unisex
288,sports & outdoors,team shop,team clothing,unisex
289,shoes,oxford shoes,None,mens
290,clothing,dresses,cocktail dresses,womens
291,,None,None,unisex
292,sports & outdoors,team shop,team accessories,unisex
293,sports & outdoors,team shop,team clothing,None
294,sports & outdoors,team shop,team clothing,unisex
295,home & pet,storage & cleaning,trash & recycling,None
298,sports & outdoors,team shop,team accessories,unisex
299,clothing,dresses,day dresses,womens
300,clothing,None,None,womens
301,accessories,luggage & bags,sports & duffel bags,unisex
302,clothing,activewear,None,plus size
305,sports & outdoors,team shop,team clothing,unisex
307,sports & outdoors,team shop,team clothing,unisex
308,,None,None,womens
309,,None,None,None
310,shoes,flats,None,womens
311,sports & outdoors,team shop,games & outdoors activities,None
312,kids & baby,boys clothing,boys shirts & tops,boys
313,shoes,boots,ankle boots,womens
314,sports & outdoors,team shop,team clothing,unisex
315,accessories,belts & buckles,None,mens
316,clothing,dresses,day dresses,womens
317,clothing,sleepwear & loungewear,pajamas,womens
318,sports & outdoors,team shop,team clothing,unisex
319,sports & outdoors,team shop,team accessories,unisex
320,sports & outdoors,team shop,team clothing,None
323,sports & outdoors,team shop,team accessories,unisex
324,clothing,tops,dress shirts,mens
325,clothing,tops,None,mens
326,,None,None,unisex
327,sports & outdoors,team shop,team clothing,unisex
328,sports & outdoors,team shop,team clothing,unisex
329,clothing,underwear & intimates,undershirts,mens
330,sports & outdoors,team shop,team kids & baby,baby & toddler
331,sports & outdoors,team shop,team clothing,unisex
332,sports & outdoors,team shop,team clothing,unisex
333,clothing,sweaters,None,womens
335,clothing,sweaters,None,womens
336,sports & outdoors,team shop,team clothing,unisex
338,clothing,sweaters,None,mens
339,shoes,sandals,None,womens
340,,None,None,None
341,sports & outdoors,team shop,team clothing,unisex
342,accessories,jewelry,rings,womens
343,clothing,suits,None,plus size
345,sports & outdoors,team shop,team clothing,unisex
346,clothing,pants,dress pants,mens
347,shoes,None,None,womens
348,,None,None,unisex
349,sports & outdoors,team shop,team clothing,unisex
350,sports & outdoors,team shop,team clothing,unisex
351,clothing,tops,t-shirts,mens
352,,None,None,None
353,,None,None,unisex
354,clothing,dresses,day dresses,womens
355,clothing,dresses,day dresses,womens
356,sports & outdoors,team shop,team clothing,unisex
358,,None,None,unisex
359,kids & baby,baby,None,baby & toddler
360,,None,None,unisex
361,shoes,boots,None,womens
362,sports & outdoors,team shop,team clothing,None
363,sports & outdoors,team shop,team accessories,None
364,clothing,tops,None,womens
365,,None,None,None
366,sports & outdoors,team shop,team clothing,unisex
367,clothing,pants,None,mens
371,sports & outdoors,team shop,team accessories,None
372,clothing,skirts,None,womens
373,clothing,tops,None,womens
374,sports & outdoors,team shop,team accessories,unisex
375,,None,None,None
378,sports & outdoors,team shop,team home & pet,None
379,sports & outdoors,team shop,team clothing,unisex
380,,None,None,None
381,accessories,hair accessories,hair extensions,unisex
382,,None,None,womens
383,clothing,tops,None,womens
384,sports & outdoors,team shop,team clothing,unisex
385,accessories,jewelry,rings,None
386,clothing,pants,casual pants,mens
387,sports & outdoors,team shop,team clothing,None
388,sports & outdoors,team shop,team clothing,unisex
389,sports & outdoors,team shop,team clothing,None
391,clothing,pants,dress pants,mens
392,sports & outdoors,team shop,team accessories,unisex
393,,None,None,None
394,kids & baby,boys clothing,boys coats & jackets,baby & toddler
397,sports & outdoors,team shop,team clothing,unisex
398,clothing,tops,dress shirts,mens
399,clothing,underwear & intimates,underwear,mens
400,sports & outdoors,team shop,team clothing,None
401,,None,None,None
402,accessories,luggage & bags,backpacks,unisex
403,,None,None,unisex
404,sports & outdoors,team shop,team accessories,None
405,,None,None,unisex
406,clothing,pants,None,womens
408,shoes,None,None,womens
409,sports & outdoors,team shop,team clothing,None
410,accessories,neckties,None,mens
411,clothing,None,None,womens
412,sports & outdoors,team shop,team clothing,None
413,sports & outdoors,team shop,team clothing,None
414,shoes,sneakers & athletic shoes,None,womens
416,clothing,denim,None,womens
417,,None,None,unisex
418,sports & outdoors,team shop,team clothing,unisex
419,sports & outdoors,team shop,team clothing,None
420,clothing,outerwear,leather & faux leather,womens
421,shoes,sneakers & athletic shoes,running shoes,mens
422,shoes,None,None,womens
424,sports & outdoors,team shop,team clothing,unisex
425,sports & outdoors,team shop,team clothing,unisex
426,sports & outdoors,team shop,team clothing,unisex
427,clothing,tops,None,womens
428,clothing,denim,None,womens
429,sports & outdoors,team shop,team clothing,None
430,sports & outdoors,team shop,team clothing,unisex
431,,None,None,None
433,shoes,None,None,womens
434,sports & outdoors,team shop,team clothing,None
435,home & pet,school & office,supplies,None
436,sports & outdoors,team shop,team clothing,unisex
437,,None,None,None
439,,None,None,None
440,sports & outdoors,team shop,team clothing,unisex
441,clothing,activewear,active shorts,mens
442,clothing,activewear,active tops,boys
444,kids & baby,baby,baby clothes,baby boys
446,sports & outdoors,team shop,None,unisex
447,,None,None,unisex
448,sports & outdoors,team shop,team clothing,unisex
449,sports & outdoors,team shop,team clothing,unisex
451,sports & outdoors,team shop,team kids & baby,kids
452,sports & outdoors,team shop,team accessories,unisex
453,sports & outdoors,team shop,team clothing,unisex
454,accessories,luggage & bags,luggage,None
455,sports & outdoors,team shop,team clothing,unisex
456,accessories,handbags,shoulder handbags,unisex
458,sports & outdoors,team shop,team clothing,unisex
459,sports & outdoors,team shop,team clothing,None
461,sports & outdoors,team shop,team clothing,unisex
462,sports & outdoors,team shop,team clothing,unisex
463,clothing,dresses,cocktail dresses,womens
464,clothing,denim,None,womens
465,,None,None,unisex
466,sports & outdoors,team shop,team clothing,unisex
467,accessories,umbrellas,None,None
468,kids & baby,boys clothing,boys shirts & tops,baby & toddler
469,kids & baby,boys clothing,boys shirts & tops,boys
470,sports & outdoors,team shop,team clothing,unisex
471,accessories,luggage & bags,luggage,unisex
472,clothing,sweaters,None,mens
473,sports & outdoors,team shop,team clothing,unisex
475,sports & outdoors,team shop,team clothing,None
476,,None,None,None
477,accessories,scarves & shawls,None,womens
478,accessories,jewelry,necklaces,unisex
479,clothing,tops,None,womens
480,sports & outdoors,team shop,team clothing,unisex
481,clothing,dresses,day dresses,womens
482,accessories,handbags,tote handbags,unisex
485,clothing,tops,dress shirts,mens
486,sports & outdoors,team shop,None,unisex
487,sports & outdoors,team shop,team accessories,None
488,shoes,sneakers & athletic shoes,None,womens
489,shoes,sneakers & athletic shoes,None,womens
490,clothing,tops,dress shirts,mens
491,sports & outdoors,team shop,team clothing,unisex
492,clothing,activewear,active tops,womens
493,sports & outdoors,team shop,team clothing,None
494,shoes,sandals,None,womens
495,clothing,denim,straight leg,womens
496,accessories,handbags,crossbody bags,unisex
497,,None,None,None
498,accessories,belts & buckles,None,mens
499,sports & outdoors,team shop,team accessories,None
500,sports & outdoors,team shop,team clothing,unisex
501,sports & outdoors,team shop,None,unisex
502,,None,None,None
503,sports & outdoors,team shop,team clothing,unisex
505,sports & outdoors,team shop,team clothing,unisex
506,sports & outdoors,team shop,team clothing,unisex
507,clothing,tops,None,womens
508,shoes,pumps,None,womens
509,kids & baby,baby,baby clothes,baby & toddler
510,sports & outdoors,team shop,team clothing,unisex
511,sports & outdoors,team shop,team accessories,unisex
512,,None,None,unisex
513,kids & baby,boys clothing,boys shirts & tops,boys
514,sports & outdoors,team shop,team clothing,unisex
515,sports & outdoors,team shop,team clothing,unisex
517,sports & outdoors,team shop,team clothing,unisex
518,,None,None,None
519,,None,None,unisex
521,sports & outdoors,team shop,team clothing,unisex
522,home & pet,school & office,supplies,None
523,accessories,luggage & bags,luggage,unisex
524,sports & outdoors,team shop,team clothing,unisex
525,clothing,outerwear,blazers,mens
526,,None,None,None
527,clothing,swimwear,None,womens
528,sports & outdoors,team shop,team clothing,unisex
529,sports & outdoors,team shop,team clothing,unisex
530,clothing,skirts,None,womens
531,sports & outdoors,team shop,team clothing,unisex
532,shoes,None,None,mens
533,sports & outdoors,team shop,team clothing,unisex
534,,None,None,None
536,sports & outdoors,team shop,team clothing,unisex
537,clothing,tops,None,womens
539,,None,None,unisex
540,clothing,tops,t-shirts,womens
541,clothing,jumpsuits & rompers,None,womens
542,health & beauty,beauty,makeup & fragrance,unisex
544,clothing,tops,dress shirts,mens
545,sports & outdoors,team shop,team clothing,unisex
546,sports & outdoors,team shop,team clothing,unisex
548,sports & outdoors,team shop,team clothing,unisex
549,sports & outdoors,team shop,team clothing,unisex
550,accessories,watches,None,womens
551,,None,None,None
552,clothing,pants,None,womens
553,clothing,sweaters,cardigans,womens
554,clothing,dresses,None,womens
555,shoes,None,None,kids
556,sports & outdoors,team shop,team clothing,unisex
557,sports & outdoors,team shop,team accessories,unisex
558,sports & outdoors,team shop,team clothing,unisex
559,clothing,underwear & intimates,bras,womens
560,sports & outdoors,team shop,team clothing,unisex
561,accessories,watches,None,mens
562,,None,None,womens
563,clothing,shorts,None,mens
564,,None,None,unisex
565,sports & outdoors,team shop,team clothing,unisex
566,,None,None,unisex
567,clothing,underwear & intimates,underwear,mens
568,accessories,handbags,crossbody bags,unisex
569,,None,None,None
570,sports & outdoors,team shop,team clothing,unisex
571,shoes,platform & wedge shoes,None,womens
572,sports & outdoors,team shop,team clothing,unisex
574,,None,None,mens
575,sports & outdoors,team shop,team clothing,unisex
576,,None,None,None
577,,None,None,unisex
578,clothing,swimwear,swimsuit tops,womens
579,sports & outdoors,team shop,team clothing,unisex
580,,None,None,None
581,clothing,outerwear,None,womens
582,clothing,pants,None,womens
583,clothing,tops,dress shirts,mens
584,home & pet,None,None,None
585,,None,None,None
586,sports & outdoors,team shop,team clothing,unisex
587,,None,None,None
588,sports & outdoors,team shop,team accessories,unisex
589,clothing,dresses,day dresses,womens
590,sports & outdoors,team shop,team clothing,unisex
591,,None,None,None
593,clothing,tops,dress shirts,mens
594,sports & outdoors,team shop,team clothing,unisex
595,,None,None,None
596,clothing,dresses,None,womens
597,sports & outdoors,team shop,team clothing,unisex
598,sports & outdoors,team shop,team accessories,unisex
599,,None,None,None
600,clothing,outerwear,None,mens
601,sports & outdoors,team shop,team clothing,unisex
602,sports & outdoors,team shop,team clothing,unisex
603,clothing,tops,t-shirts,mens
604,clothing,underwear & intimates,bras,womens
605,sports & outdoors,team shop,team clothing,unisex
606,sports & outdoors,team shop,team clothing,unisex
607,sports & outdoors,team shop,team clothing,None
608,accessories,handbags,crossbody bags,unisex
609,sports & outdoors,team shop,team clothing,unisex
610,sports & outdoors,team shop,team clothing,unisex
611,sports & outdoors,team shop,team clothing,unisex
612,shoes,None,None,womens
613,sports & outdoors,team shop,team accessories,unisex
614,clothing,tops,blouses,womens
615,,None,None,None
616,sports & outdoors,team shop,team home & pet,None
617,sports & outdoors,team shop,team kids & baby,baby & toddler
618,accessories,jewelry,bracelets,womens
619,,None,None,mens
620,sports & outdoors,team shop,team clothing,unisex
621,shoes,boots,None,mens
622,clothing,outerwear,None,womens
624,clothing,tops,None,womens
625,,None,None,unisex
626,accessories,neckties,None,mens
627,clothing,dresses,None,girls
628,sports & outdoors,team shop,team clothing,unisex
629,accessories,None,None,womens
630,clothing,sweaters,None,womens
631,clothing,tops,None,womens
632,,None,None,None
633,sports & outdoors,team shop,team clothing,unisex
634,clothing,sweaters,None,womens
635,sports & outdoors,team shop,team clothing,unisex
637,clothing,tops,None,mens
639,sports & outdoors,team shop,team clothing,unisex
640,clothing,dresses,None,womens
641,clothing,denim,None,womens
642,sports & outdoors,team shop,team clothing,unisex
643,sports & outdoors,team shop,team clothing,unisex
644,kids & baby,boys clothing,None,baby & toddler
645,kids & baby,girls clothing,girls shirts & tops,girls
647,sports & outdoors,team shop,team clothing,None
648,clothing,tops,blouses,womens
649,sports & outdoors,team shop,team clothing,unisex
650,kids & baby,girls clothing,None,baby & toddler
653,clothing,outerwear,vests,womens
654,accessories,eyeglasses,None,mens
655,clothing,suits,None,mens
656,clothing,shorts,None,mens
657,clothing,underwear & intimates,bras,womens
658,sports & outdoors,team shop,team shoes,unisex
659,sports & outdoors,team shop,team clothing,unisex
660,sports & outdoors,team shop,team clothing,unisex
661,sports & outdoors,team shop,team clothing,None
662,,None,None,None
663,clothing,tops,None,mens
664,sports & outdoors,team shop,team clothing,unisex
665,,None,None,womens
666,clothing,dresses,day dresses,womens
667,clothing,pants,None,mens
668,sports & outdoors,team shop,team clothing,unisex
669,,None,None,unisex
670,sports & outdoors,team shop,team clothing,None
671,sports & outdoors,team shop,None,unisex
672,clothing,dresses,evening dresses,womens
673,shoes,sneakers & athletic shoes,None,mens
674,home & pet,pet,fish,unisex
675,clothing,skirts,None,womens
676,shoes,sandals,None,womens
678,sports & outdoors,team shop,team clothing,None
679,sports & outdoors,team shop,team clothing,unisex
680,sports & outdoors,team shop,team clothing,unisex
681,sports & outdoors,team shop,team clothing,unisex
682,,None,None,None
683,,None,None,None
684,clothing,dresses,day dresses,womens
685,clothing,shorts,None,mens
686,sports & outdoors,team shop,team accessories,unisex
689,,None,None,None
691,clothing,tops,None,womens
692,clothing,maternity clothing,maternity dresses,womens
693,sports & outdoors,team shop,team clothing,unisex
694,shoes,pumps,None,womens
695,sports & outdoors,team shop,team clothing,unisex
696,,None,None,None
697,,None,None,None
698,accessories,neckties,None,mens
699,clothing,pants,None,womens
700,sports & outdoors,team shop,team clothing,unisex
701,shoes,boots,None,womens
702,clothing,tops,None,womens
705,clothing,dresses,None,womens
706,shoes,sandals,espadrilles,unisex
707,,None,None,None
709,,None,None,None
710,accessories,jewelry,earrings,womens
711,accessories,jewelry,necklaces,unisex
712,clothing,swimwear,two-piece swimsuits,womens
713,,None,None,None
714,clothing,pants,casual pants,womens
715,,None,None,unisex
716,,None,None,unisex
717,clothing,sweaters,None,womens
718,kids & baby,boys clothing,None,baby & toddler
720,,None,None,None
721,,None,None,None
722,clothing,sweaters,None,womens
724,sports & outdoors,team shop,team clothing,None
725,accessories,gloves & mittens,gloves,unisex
727,sports & outdoors,team shop,team clothing,unisex
730,sports & outdoors,team shop,team clothing,unisex
731,sports & outdoors,team shop,team clothing,unisex
733,kids & baby,girls clothing,girls shirts & tops,girls
734,,None,None,womens
735,clothing,tops,dress shirts,mens
736,sports & outdoors,team shop,team clothing,unisex
737,clothing,denim,None,womens
738,sports & outdoors,team shop,team accessories,unisex
740,electronics,cell phones,cases,None
741,,None,None,unisex
743,,None,None,unisex
746,sports & outdoors,team shop,team clothing,unisex
747,sports & outdoors,team shop,team shoes,unisex
748,clothing,outerwear,None,womens
749,,None,None,unisex
750,sports & outdoors,team shop,team clothing,None
751,,None,None,unisex
752,,None,None,unisex
753,sports & outdoors,team shop,team clothing,unisex
754,sports & outdoors,team shop,team clothing,None
756,sports & outdoors,team shop,team clothing,unisex
757,sports & outdoors,team shop,team clothing,unisex
758,sports & outdoors,team shop,team clothing,unisex
759,shoes,None,None,mens
760,sports & outdoors,team shop,team clothing,unisex
761,clothing,dresses,day dresses,womens
763,health & beauty,health care,supports & braces,unisex
764,clothing,shorts,None,womens
766,sports & outdoors,team shop,team clothing,unisex
767,,None,None,None
768,sports & outdoors,team shop,team clothing,unisex
769,,None,None,None
770,accessories,jewelry,earrings,unisex
772,shoes,None,None,unisex
773,clothing,tops,polo shirts,mens
774,sports & outdoors,team shop,team clothing,unisex
775,clothing,denim,None,womens
776,,None,None,unisex
777,sports & outdoors,team shop,team clothing,None
778,sports & outdoors,team shop,team clothing,None
780,sports & outdoors,team shop,team clothing,None
781,,None,None,unisex
782,accessories,neckties,None,mens
783,kids & baby,boys clothing,None,boys
784,sports & outdoors,team shop,team clothing,None
785,,None,None,unisex
786,sports & outdoors,team shop,team clothing,unisex
787,sports & outdoors,team shop,team clothing,unisex
788,sports & outdoors,team shop,team clothing,None
789,kids & baby,girls clothing,girls dresses,baby & toddler
790,sports & outdoors,team shop,team clothing,unisex
792,sports & outdoors,team shop,team clothing,unisex
793,sports & outdoors,team shop,team accessories,None
794,clothing,shorts,None,mens
796,accessories,belts & buckles,None,mens
797,sports & outdoors,team shop,team clothing,unisex
798,sports & outdoors,team shop,team clothing,unisex
799,,None,None,girls
800,home & pet,pet,dog,unisex
801,,None,None,None
802,sports & outdoors,team shop,team clothing,unisex
803,sports & outdoors,team shop,team clothing,unisex
804,clothing,tops,dress shirts,mens
806,clothing,tops,None,womens
807,clothing,underwear & intimates,lingerie,womens
808,clothing,underwear & intimates,None,womens
809,sports & outdoors,team shop,team clothing,None
810,sports & outdoors,team shop,team clothing,None
811,sports & outdoors,team shop,team clothing,None
812,sports & outdoors,team shop,team clothing,None
813,sports & outdoors,team shop,team clothing,unisex
816,,None,None,unisex
817,sports & outdoors,team shop,team clothing,unisex
818,clothing,underwear & intimates,underwear,mens
819,clothing,swimwear,two-piece swimsuits,womens
820,sports & outdoors,team shop,team accessories,unisex
821,shoes,sneakers & athletic shoes,None,mens
822,sports & outdoors,team shop,team clothing,unisex
823,clothing,outerwear,None,womens
824,sports & outdoors,team shop,team clothing,unisex
825,sports & outdoors,team shop,team clothing,unisex
826,sports & outdoors,team shop,team clothing,unisex
828,clothing,tops,None,womens
829,sports & outdoors,team shop,team clothing,unisex
830,sports & outdoors,team shop,team clothing,None
831,clothing,dresses,evening dresses,womens
832,clothing,tops,None,womens
835,sports & outdoors,team shop,team clothing,None
836,clothing,activewear,active tops,womens
837,sports & outdoors,team shop,team clothing,unisex
838,sports & outdoors,team shop,team clothing,unisex
839,,None,None,None
840,clothing,sweaters,cardigans,womens
841,electronics,cell phones,cases,None
842,clothing,tops,None,womens
843,sports & outdoors,team shop,team clothing,unisex
844,sports & outdoors,team shop,team shoes,unisex
846,,None,None,None
847,clothing,dresses,cocktail dresses,womens
850,sports & outdoors,team shop,team clothing,None
852,sports & outdoors,team shop,team clothing,unisex
853,shoes,boots,None,womens
854,sports & outdoors,team shop,team clothing,unisex
855,sports & outdoors,team shop,team clothing,unisex
856,,None,None,unisex
857,,None,None,None
858,,None,None,None
859,,None,None,unisex
860,sports & outdoors,team shop,team clothing,unisex
861,sports & outdoors,team shop,team clothing,unisex
862,kids & baby,girls clothing,girls sweaters,baby & toddler
863,clothing,pants,leggings,plus size
864,sports & outdoors,team shop,team accessories,None
865,,None,None,unisex
867,,None,None,None
868,clothing,dresses,None,womens
869,shoes,sandals,None,womens
870,clothing,dresses,day dresses,womens
871,kids & baby,girls clothing,girls shirts & tops,girls
872,clothing,swimwear,swim & board shorts,womens
873,sports & outdoors,team shop,team clothing,unisex
874,sports & outdoors,team shop,team clothing,unisex
875,clothing,tops,None,mens
876,accessories,jewelry,rings,unisex
877,accessories,jewelry,earrings,unisex
878,,None,None,unisex
879,sports & outdoors,team shop,team clothing,None
880,sports & outdoors,team shop,team clothing,unisex
881,clothing,activewear,active tops,mens
883,sports & outdoors,team shop,team clothing,unisex
884,sports & outdoors,team shop,team clothing,unisex
885,sports & outdoors,team shop,team clothing,None
886,clothing,tops,None,womens
887,clothing,sweaters,cardigans,womens
